word,pos
абад,NOUN
абадий,NOUN
абадийлик,NOUN
абадия,NOUN
абадият,NOUN
абажур,NOUN
аббат,NOUN
аббосий,NOUN
аббревиатура,NOUN
абгорлик,NOUN
абдол,NOUN
аберрация,NOUN
абёт,NOUN
абжад,NOUN
абжадхон,NOUN
абжадхнонлик,NOUN
абжирлик,NOUN
абжўш,NOUN
абзал,NOUN
абзац,NOUN
абира,NOUN
абитуриент,NOUN
аблаҳлик,NOUN
або,NOUN
аболиция,NOUN
абонемент,NOUN
абонент,NOUN
абориген,NOUN
аборт,NOUN
абр,NOUN
абразив,NOUN
абраш,NOUN
абрбанд,NOUN
абрбанди,NOUN
абрбандчи,NOUN
абришим,NOUN
абрў,NOUN
абсентеизм,NOUN
абсолютизм,NOUN
абсорбция,NOUN
абстракционизм,NOUN
абстракционист,NOUN
абстракция,NOUN
абсцесс,NOUN
абу,NOUN
абхаз,NOUN
авангард,NOUN
авангардизм,NOUN
аванпост,NOUN
аванс,NOUN
авантюра,NOUN
авантюризм,NOUN
авантюрист,NOUN
авар,NOUN
авара,NOUN
авария,NOUN
авариячи,NOUN
авахта,NOUN
аваға,NOUN
авбош,NOUN
аввал,NOUN
аввали,NOUN
август,NOUN
авж,NOUN
авзо,NOUN
авиакомпания,NOUN
авиакомпас,NOUN
авиалиния,NOUN
авиамоделчи,NOUN
авиамоделчилик,NOUN
авиамодель,NOUN
авианосец,NOUN
авиапочта,NOUN
авиасалон,NOUN
авиатор,NOUN
авиатрасса,NOUN
авиация,NOUN
авизо,NOUN
авитаминоз,NOUN
авлиё,NOUN
авлиёуллоҳ	к,NOUN
авлод,NOUN
авлоқ,NOUN
авом,NOUN
авоқ,NOUN
авра,NOUN
авра-астар,NOUN
аврабанд,NOUN
аврат,NOUN
авратпўш,NOUN
аврағич,NOUN
аврод	к,NOUN
авродчи,NOUN
аврон,NOUN
авроқ,NOUN
авроқчи,NOUN
автаркия,NOUN
авто,NOUN
автобаза,NOUN
автобиография,NOUN
автоблокировка,NOUN
автобус,NOUN
автовокзал,NOUN
автоген,NOUN
автограф,NOUN
автодром,NOUN
автодўкон,NOUN
автозавод,NOUN
автоинспекция,NOUN
автокар,NOUN
автокачка,NOUN
автоклав,NOUN
автоколонна,NOUN
автокорхона,NOUN
автокран,NOUN
автол,NOUN
автолавка,NOUN
автомагистраль,NOUN
автомат,NOUN
автоматизм,NOUN
автоматика,NOUN
автомат-справочник,NOUN
автомат-телефон,NOUN
автоматчи,NOUN
автомашина,NOUN
автомобилсоз,NOUN
автомобилсозлик,NOUN
автомобиль,NOUN
автоназорат,NOUN
автономия,NOUN
автономиячи,NOUN
автопарк,NOUN
автопилот,NOUN
автопоилка,NOUN
автопойга,NOUN
автопортрет,NOUN
автопрцеп,NOUN
автор,NOUN
авторалли,NOUN
авторемонт,NOUN
автореферат,NOUN
авторитаризм,NOUN
авторлик,NOUN
авторучка,NOUN
автосалон,NOUN
автосарой,NOUN
автостанция,NOUN
автостоп,NOUN
автосуғоргич,NOUN
агент,NOUN
агентлик,NOUN
агностик,NOUN
агрессив,NOUN
агрессивлик,NOUN
агрессия,NOUN
агрессиячи,NOUN
агрессиячилик,NOUN
агрессор,NOUN
агрессорлик,NOUN
агробиологик,NOUN
агроном,NOUN
агрономик,NOUN
агрономлик,NOUN
агротехник,NOUN
адаб,NOUN
адабиётчи,NOUN
адабиётшунослик,NOUN
адабсиз,NOUN
адабсизлик,NOUN
адад,NOUN
адашмоқ,NOUN
адаштирмоқ,NOUN
аденома,NOUN
адиб,NOUN
адиблик,NOUN
адипламоқ,NOUN
адолат,NOUN
адолатсиз,NOUN
