stem,pos,description
-ya,PRT,Particle {Yuklama}
a,NOUN,Noun {Ot}
a,PRT,Particle {Yuklama}
a'lam,NOUN,Noun {Ot}
a'lo,NOUN,Noun {Ot}
a'lochi,NOUN,Noun {Ot}
a'mo,NOUN,Noun {Ot}
a'mol,NOUN,Noun {Ot}
a'rof,NOUN,Noun {Ot}
a'yon,NOUN,Noun {Ot}
a'zam,NOUN,Noun {Ot}
a'zo,NOUN,Noun {Ot}
a'zolik,ADJ,Adjective {Sifat}
a'zolik,NOUN,Noun {Ot}
ab,NOUN,Noun {Ot}
abad,ADV,Adverb {Ravish}
abad,NOUN,Noun {Ot}
abadiy,ADJ,Adjective {Sifat}
abadiy,NOUN,Noun {Ot}
abadiy-boqiy,NOUN,Noun {Ot}
abadiya,NOUN,Noun {Ot}
abadiyan,ADV,Adverb {Ravish}
abadiyan,NOUN,Noun {Ot}
abadiyat,NOUN,Noun {Ot}
abadiylash,NOUN,Noun {Ot}
abadiylash,VERB,Verb {Fe'l}
abadiylashtir,VERB,Verb {Fe'l}
abadiylashtiril,VERB,Verb {Fe'l}
abadiylashtirish,NOUN,Noun {Ot}
abadiylashtiruv,NOUN,Noun {Ot}
abadiylashtiruvchi,NOUN,Noun {Ot}
abadiylashuv,NOUN,Noun {Ot}
abadiylik,NOUN,Noun {Ot}
abadulabad,ADV,Adverb {Ravish}
abadulabad,NOUN,Noun {Ot}
abajur,NOUN,Noun {Ot}
abajurli,ADJ,Adjective {Sifat}
abajurli,NOUN,Noun {Ot}
abajurtutqich,NOUN,Noun {Ot}
abak,NOUN,Noun {Ot}
abaka,NOUN,Noun {Ot}
abaksial,NOUN,Noun {Ot}
abakterial,NOUN,Noun {Ot}
abaliyenatsiya,NOUN,Noun {Ot}
abas,ADJ,Adjective {Sifat}
abas,NOUN,Noun {Ot}
abazalar,NOUN,Noun {Ot}
abaziya,NOUN,Noun {Ot}
abbat,NOUN,Noun {Ot}
abbosiy,NOUN,Noun {Ot}
abbosiylar,NOUN,Noun {Ot}
abbreviatsiya,NOUN,Noun {Ot}
abbreviatura,NOUN,Noun {Ot}
abd,NOUN,Noun {Ot}
abdal,NOUN,Noun {Ot}
abdikatsiya,NOUN,Noun {Ot}
abdol,NOUN,Noun {Ot}
abdollik,NOUN,Noun {Ot}
abdolvash,ADJ,Adjective {Sifat}
abdolvash,NOUN,Noun {Ot}
abdomen,NOUN,Noun {Ot}
abdominal,NOUN,Noun {Ot}
abdominoskopiya,NOUN,Noun {Ot}
abduazimov,NOUN,Noun {Ot}
abdug‘aniyev,NOUN,Noun {Ot}
abduksiya,NOUN,Noun {Ot}
abduktor,NOUN,Noun {Ot}
abdulaziz,NOUN,Noun {Ot}
abdulla,NOUN,Noun {Ot}
abdullayev,NOUN,Noun {Ot}
abeliya,NOUN,Noun {Ot}
aberratsion,ADJ,Adjective {Sifat}
aberratsion,NOUN,Noun {Ot}
aberratsiya,NOUN,Noun {Ot}
abgashta,NOUN,Noun {Ot}
abgor,ADV,Adverb {Ravish}
abgor,NOUN,Noun {Ot}
abgor-abgashta,NOUN,Noun {Ot}
abgora,NOUN,Noun {Ot}
abgorlan,VERB,Verb {Fe'l}
abgorlanganlik,NOUN,Noun {Ot}
abgorlanish,NOUN,Noun {Ot}
abgorlanuv,NOUN,Noun {Ot}
abgorlik,NOUN,Noun {Ot}
abhar,NOUN,Noun {Ot}
abiogenez,NOUN,Noun {Ot}
abiotik,NOUN,Noun {Ot}
abiotrofiya,NOUN,Noun {Ot}
abioz,NOUN,Noun {Ot}
abir,NOUN,Noun {Ot}
abira,NOUN,Noun {Ot}
abirafshon,NOUN,Noun {Ot}
abissal,NOUN,Noun {Ot}
abissolit,NOUN,Noun {Ot}
abissopelitlar,NOUN,Noun {Ot}
abiturient,NOUN,Noun {Ot}
abituriyent,NOUN,Noun {Ot}
abituriyentlik,NOUN,Noun {Ot}
abixit,NOUN,Noun {Ot}
abjad,NOUN,Noun {Ot}
abjadxnonlik,NOUN,Noun {Ot}
abjadxon,NOUN,Noun {Ot}
abjadxonlik,NOUN,Noun {Ot}
abjaq,ADJ,Adjective {Sifat}
abjaq,NOUN,Noun {Ot}
abjaq-abjaq,NOUN,Noun {Ot}
abjaqla,VERB,Verb {Fe'l}
abjaqlan,VERB,Verb {Fe'l}
abjaqlanuv,NOUN,Noun {Ot}
abjir,NOUN,Noun {Ot}
abjirlan,VERB,Verb {Fe'l}
abjirlanish,NOUN,Noun {Ot}
abjirlash,VERB,Verb {Fe'l}
abjirlik,NOUN,Noun {Ot}
abjirona,NOUN,Noun {Ot}
abjo'sh,NOUN,Noun {Ot}
abjo'shi,ADJ,Adjective {Sifat}
abjo‘sh,NOUN,Noun {Ot}
abjo‘shi,NOUN,Noun {Ot}
abla,NOUN,Noun {Ot}
ablah,ADJ,Adjective {Sifat}
ablah,NOUN,Noun {Ot}
ablahlarcha,NOUN,Noun {Ot}
ablahlik,NOUN,Noun {Ot}
ablahnamo,NOUN,Noun {Ot}
ablahona,ADJ,Adjective {Sifat}
ablahona,ADV,Adverb {Ravish}
ablahona,NOUN,Noun {Ot}
ablaktirovka,NOUN,Noun {Ot}
